HOST: scanme.nmap.org PORT: 20 || CLOSED,
HOST: scanme.nmap.org PORT: 21 || CLOSED,
HOST: scanme.nmap.org PORT: 22 || OPEN,
HOST: scanme.nmap.org PORT: 23 || CLOSED,
HOST: scanme.nmap.org PORT: 24 || CLOSED,
HOST: scanme.nmap.org PORT: 25 || CLOSED,
HOST: scanme.nmap.org PORT: 26 || CLOSED,
HOST: scanme.nmap.org PORT: 27 || CLOSED,
HOST: scanme.nmap.org PORT: 28 || CLOSED,
HOST: scanme.nmap.org PORT: 29 || CLOSED,
HOST: scanme.nmap.org PORT: 30 || CLOSED,
HOST: scanme.nmap.org PORT: 32 || CLOSED,
HOST: scanme.nmap.org PORT: 33 || CLOSED,
HOST: scanme.nmap.org PORT: 34 || CLOSED,
HOST: scanme.nmap.org PORT: 35 || CLOSED,
HOST: scanme.nmap.org PORT: 36 || CLOSED,
HOST: scanme.nmap.org PORT: 37 || CLOSED,
HOST: scanme.nmap.org PORT: 38 || CLOSED,
HOST: scanme.nmap.org PORT: 39 || CLOSED,
HOST: scanme.nmap.org PORT: 40 || CLOSED,
HOST: scanme.nmap.org PORT: 41 || CLOSED,
HOST: scanme.nmap.org PORT: 42 || CLOSED,
HOST: scanme.nmap.org PORT: 43 || CLOSED,
HOST: scanme.nmap.org PORT: 44 || CLOSED,
HOST: scanme.nmap.org PORT: 45 || CLOSED,
HOST: scanme.nmap.org PORT: 46 || CLOSED,
HOST: scanme.nmap.org PORT: 47 || CLOSED,
HOST: scanme.nmap.org PORT: 48 || CLOSED,
HOST: scanme.nmap.org PORT: 49 || CLOSED,
HOST: scanme.nmap.org PORT: 50 || CLOSED,
HOST: scanme.nmap.org PORT: 51 || CLOSED,
HOST: scanme.nmap.org PORT: 52 || CLOSED,
HOST: scanme.nmap.org PORT: 53 || CLOSED,
HOST: scanme.nmap.org PORT: 54 || CLOSED,
HOST: scanme.nmap.org PORT: 55 || CLOSED,
HOST: scanme.nmap.org PORT: 56 || CLOSED,
HOST: scanme.nmap.org PORT: 57 || CLOSED,
HOST: scanme.nmap.org PORT: 58 || CLOSED,
HOST: scanme.nmap.org PORT: 59 || CLOSED,
HOST: scanme.nmap.org PORT: 60 || CLOSED,
HOST: scanme.nmap.org PORT: 61 || CLOSED,
HOST: scanme.nmap.org PORT: 62 || CLOSED,
HOST: scanme.nmap.org PORT: 63 || CLOSED,
HOST: scanme.nmap.org PORT: 64 || CLOSED,
HOST: scanme.nmap.org PORT: 65 || CLOSED,
HOST: scanme.nmap.org PORT: 66 || CLOSED,
HOST: scanme.nmap.org PORT: 67 || CLOSED,
HOST: scanme.nmap.org PORT: 68 || CLOSED,
HOST: scanme.nmap.org PORT: 69 || CLOSED,
HOST: scanme.nmap.org PORT: 70 || CLOSED,
HOST: scanme.nmap.org PORT: 71 || CLOSED,
HOST: scanme.nmap.org PORT: 72 || CLOSED,
HOST: scanme.nmap.org PORT: 73 || CLOSED,
HOST: scanme.nmap.org PORT: 74 || CLOSED,
HOST: scanme.nmap.org PORT: 75 || CLOSED,
HOST: scanme.nmap.org PORT: 76 || CLOSED,
HOST: scanme.nmap.org PORT: 77 || CLOSED,
HOST: scanme.nmap.org PORT: 78 || CLOSED,
HOST: scanme.nmap.org PORT: 79 || CLOSED,
HOST: scanme.nmap.org PORT: 80 || OPEN,
