[2020-11-11T11:56:41] __main__ || DEBUG || 986
[2020-11-11T11:56:41] __main__ || INFO || 987-FIZZ
[2020-11-11T11:56:41] __main__ || DEBUG || 988
[2020-11-11T11:56:41] __main__ || DEBUG || 989
[2020-11-11T11:56:41] __main__ || DEBUG || 991
[2020-11-11T11:56:41] __main__ || DEBUG || 992
[2020-11-11T11:56:41] __main__ || INFO || 993-FIZZ
[2020-11-11T11:56:41] __main__ || DEBUG || 994
[2020-11-11T11:56:41] __main__ || WARNING || 995-BUZZ
[2020-11-11T11:56:41] __main__ || INFO || 996-FIZZ
[2020-11-11T11:56:41] __main__ || DEBUG || 997
[2020-11-11T11:56:41] __main__ || DEBUG || 998
[2020-11-11T11:56:41] __main__ || INFO || 999-FIZZ
[2020-11-11T11:56:41] __main__ || ERROR || EVERYTHING WORKED...
